1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,3
2,4
3,7
3,9
3,9
4,12
4,12
4,12
5,17
5,17
5,18
5,18
5,20
5,20
5,21
5,21
6,24
6,24
6,24
6,25
6,25
5,27
5,28
5,28
5,30
5,30
5,31
5,31
5,32
5,32
6,32
6,32
6,31
6,31
6,31
6,31
6,29
6,29
6,28
6,28
7,29
7,29
7,29
7,30
7,31
7,34
7,34
7,34
7,36
7,38
7,38
7,38
7,36
7,36
7,36
6,32
6,32
6,30
6,28
6,28
6,28
6,28
5,25
5,24
5,24
4,23
4,22
4,22
4,21
4,21
4,19
4,19
4,19
4,19
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,19
4,19
4,19
4,19
4,20
4,21
4,21
4,23
4,23
4,23
4,23
4,23
4,23
5,22
5,22
5,22
5,21
5,21
5,21
5,19
5,19
5,19
5,19
5,19
4,18
4,18
4,18
4,17
4,17
4,17
4,17
4,17
4,17
4,18
4,18
4,18
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,18
5,19
5,19
5,19
5,19
5,19
4,17
4,15
4,15
4,15
4,13
4,13
4,11
4,11
3,8
3,6
3,6
2,5
2,5
2,3
2,3
2,3
2,2
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
4,3
5,3
6,4
6,4
8,4
10,4
10,4
10,4
13,5
16,5
19,6
